Sample	Coverage
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	0.9875583203732504
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
cDNA_ONT_ES	1.0
